data_hora,sevidor_nm_site_iis,servidor_nm,servidor_ip,requisicao_method,requisicao_recurso,requisicao_query,requisicao_port,requisicao_usuario,cliente_ip,requisicao_protocolo,requisicao_url_origem,servidor_nm_site,requisicao_cod_resposta,requisicao_dados_enviados,requisicao_dados_recebidos,requisicao_tempo_resposta,arquivo,os_family,os_version,device_family,device_model,device_brand,browser_family,browser_version,cliente_pais
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/bootstrap.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,9717.0,934.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/modernizr-2.6.2.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,20426.0,936.0,62.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/additional-methods.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,6773.0,943.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/jquery.validate.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,9749.0,940.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/jquery.unobtrusive-ajax.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1925.0,948.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/jquery.validate.unobtrusive.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,2837.0,952.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/jquery.validate.bootstrap-config.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,693.0,957.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/methods_pt.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,581.0,935.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/images/codin_externo_min.svg,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,10613.0,1006.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/fonts/fontawesome-webfont.woff2,v=4.7.0,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg/css/font-awesome.min.css,intranet.seduc.se.gov.br,200.0,77726.0,1011.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
